Cell_Num	X	Y	Genenames	CellGeneCount	ClassName	Prob
0	10.0	743.0	['6330403K07Rik', 'Cryab', 'Enpp2', 'Kctd12', 'Neurod6', 'Plp1']	[0.009303385058350488, 0.9571086319267613, 2.001398530442808, 0.01949808728122418, 0.9774861056921172, 13.142846037370143]	['Eryth.2', 'Oligo.1', 'Oligo.2', 'Oligo.3', 'Oligo.4', 'Oligo.5']	[0.05209076879200009, 0.1799565300764599, 0.021991969842338106, 0.05942386736573895, 0.41099676671243685, 0.27554008755314]
1	9.0	783.0	['Cryab', 'Neurod6']	[0.005710806243798736, 0.0021372414199456245]	['Astro.5', 'Endo', 'Eryth.1', 'Microglia.1', 'Microglia.2', 'Vsmc', 'Zero']	[0.0011038211036373418, 0.003739071439966909, 0.0055837988616455345, 0.006934840635184817, 0.008560052869521743, 0.006434449048390413, 0.9645953343253859]
2	9.0	920.0	['3110035E14Rik', 'Enpp2', 'Id2', 'Rgs4', 'Slc6a1']	[0.0027347540471622266, 0.00992832411248772, 0.03372456177546557, 0.9794779664099571, 0.9895043536721844]	['Astro.1', 'Astro.2', 'Astro.5', 'Endo', 'Eryth.1', 'Microglia.1', 'Microglia.2', 'Vsmc', 'Zero']	[0.0013428106589405953, 0.0013786076045816957, 0.0014755886432347484, 0.014337887073259012, 0.005116844837845478, 0.007057266144509597, 0.00835066450006667, 0.016251219316628644, 0.9413302187753988]
3	11.0	973.0	['Aldoc', 'Cryab', 'Cxcl14', 'Enpp2', 'Id2', 'Plp1', 'Pvalb', 'Sst']	[0.05695570175498078, 2.0307865584924554, 0.9424866688819974, 1.9797944633929323, 1.0491241049998719, 11.121613131323443, 0.07927704833231486, 0.1364086664946683]	['Eryth.2', 'Oligo.1', 'Oligo.2', 'Oligo.3', 'Oligo.4', 'Oligo.5']	[0.011808391678726028, 0.1726727563672895, 0.04916624803739722, 0.0845389985283496, 0.44044120788734825, 0.24137239308730526]
4	10.0	1005.0	['Aldoc', 'Arpp21', 'Cryab', 'Cxcl14', 'Enpp2', 'Id2', 'Plp1', 'Sulf2']	[0.4987658203058617, 0.019216050179891888, 2.073239589204054, 0.03741913889893909, 3.961830772199682, 0.7563743637842784, 11.904684354507904, 0.9885852878952417]	['Eryth.2', 'Oligo.1', 'Oligo.2', 'Oligo.3', 'Oligo.4', 'Oligo.5']	[0.0012070035126342047, 0.5142666681360549, 0.07064155067220967, 0.07436561707212912, 0.24151309068753543, 0.09800606982589748]
5	10.0	1119.0	['6330403K07Rik', 'Aldoc', 'Gad1', 'Id2', 'Npy', 'Rorb']	[0.9908925115330376, 0.002439090516972308, 2.974950229342319, 0.9833427437445765, 2.945906825610033, 0.003511922725148634]	['Astro.1', 'Astro.3', 'Cacna2d1.Lhx6.Reln', 'Cacna2d1.Lhx6.Vwa5a', 'Cacna2d1.Ndnf.Cxcl14', 'Cacna2d1.Ndnf.Npy', 'Cacna2d1.Ndnf.Rgs10', 'Calb2.Cntnap5a.Igfbp6', 'Calb2.Cntnap5a.Rspo3', 'Calb2.Cntnap5a.Vip', 'Calb2.Cryab', 'Calb2.Vip.Gpd1', 'Calb2.Vip.Igfbp4', 'Calb2.Vip.Nos1', 'Endo', 'Microglia.1', 'Microglia.2', 'Ntng1.Rgs10', 'Pvalb.C1ql1.Cpne5', 'Pvalb.C1ql1.Npy', 'Pvalb.Tac1.Nr4a2', 'Pvalb.Tac1.Sst', 'Sst.Erbb4.Rgs10', 'Sst.Erbb4.Th', 'Sst.Npy.Mgat4c', 'Sst.Npy.Zbtb20', 'Sst.Pnoc.Pvalb', 'Vip.Crh.C1ql1', 'Vsmc', 'Zero']	[0.0010164616355248031, 0.0023763186854927217, 0.01841454753050777, 0.002977744397081678, 0.11289186399002081, 0.014902351154824226, 0.40305690447266984, 0.1119594522080972, 0.011033923008134466, 0.005668666230936543, 0.0027620781518057223, 0.0034626026576437497, 0.006076434810998297, 0.002683160590475312, 0.0022064187333185777, 0.003864300390283802, 0.0020854971124801905, 0.0022362897483210447, 0.0038700914879649185, 0.05485026010563249, 0.020023440142062948, 0.020992204638652624, 0.022447981047339204, 0.01319465037745712, 0.0011948605662044846, 0.0010996806614213344, 0.0010969620331625347, 0.0038599663861222694, 0.0024559350386102767, 0.13998336797648578]
6	16.0	1169.0	['Aldoc', 'Gad1', 'Id2', 'Npy', 'Plp1', 'Rorb', 'Satb1', 'Zcchc12']	[0.9948118968064281, 0.0017675779364888346, 2.963859314012271, 0.0026479783206406443, 0.7293613924353626, 0.9185304584818696, 0.9905957207124029, 0.9945060331464972]	['Astro.1', 'Astro.2', 'Astro.3', 'Astro.4', 'Astro.5', 'Endo', 'Eryth.1', 'Eryth.2', 'Microglia.1', 'Microglia.2', 'Vsmc', 'Zero']	[0.08626011556168715, 0.18968900933183458, 0.22090233394064734, 0.17186478135854574, 0.08749877304973608, 0.01731233126990271, 0.002576447534698875, 0.0015921332748293614, 0.04100160812019025, 0.010040359531241026, 0.004972121237047661, 0.16418680095526492]
7	24.0	1221.0	['Aldoc', 'Cplx2', 'Cryab', 'Fam19a1', 'Fos', 'Id2', 'Plcxd2', 'Rprm']	[0.010077230792360973, 0.01099232357102075, 0.9513221168774593, 0.9314754718821662, 0.9581030296484783, 1.7566473181669073, 0.9533716021668379, 0.9925993678637715]	['Astro.1', 'Astro.2', 'Astro.3', 'Astro.4', 'Astro.5', 'Endo', 'Eryth.1', 'Eryth.2', 'Microglia.1', 'Microglia.2', 'Vsmc', 'Zero']	[0.006816419724077127, 0.01229282317182052, 0.010177554400679464, 0.00619856221803719, 0.008317640940539061, 0.05338660824668027, 0.003878495989897876, 0.0010888339936837082, 0.049465345856254984, 0.021653507655286598, 0.022875280533360548, 0.8024942835382154]
8	10.0	1259.0	['3110035E14Rik', 'Cplx2', 'Id2', 'Plp1']	[0.0012679270220120283, 0.944205746668347, 0.9867475669202364, 1.9853007542840384]	['Astro.1', 'Astro.2', 'Astro.3', 'Astro.4', 'Astro.5', 'Endo', 'Eryth.1', 'Eryth.2', 'Microglia.1', 'Microglia.2', 'Oligo.5', 'PC.CA1.1', 'Vsmc', 'Zero']	[0.016278861756203532, 0.007000746801659504, 0.005204872504265051, 0.009414680606224054, 0.02692492498331681, 0.034887034654941904, 0.07790760338911853, 0.06515862219830126, 0.05786013315764637, 0.034456634059729624, 0.0029280394921888707, 0.0017090872219150156, 0.02704139832355196, 0.6289444150782839]
9	9.0	954.0	['Cryab', 'Enpp2', 'Plp1', 'Pvalb', 'Sst']	[0.051145443835617886, 0.016817916298023546, 1.0966289159523024, 0.06889118607561352, 0.012527835952673856]	['Astro.1', 'Astro.2', 'Astro.3', 'Astro.4', 'Astro.5', 'Endo', 'Eryth.1', 'Eryth.2', 'Microglia.1', 'Microglia.2', 'Oligo.5', 'Vsmc', 'Zero']	[0.0035836287357407385, 0.0024974999529621994, 0.0011685658862051812, 0.0018885791374461925, 0.006086834549529884, 0.011058634846593468, 0.024542218992334115, 0.014556988782725391, 0.015993015231583523, 0.01584548376422681, 0.0010284515561758006, 0.014397401991680265, 0.8821811685358025]
